Subject,Abbrev,Topic,abbrev,key,Pretty_Name
math,AG,Algebraic Geometry,ag,math.ag,Algebraic Geometry (Math)
math,AT,Algebraic Topology,at,math.at,Algebraic Topology (Math)
math,CT,Category Theory,ct,math.ct,Category Theory (Math)
math,AC,Commutative Algebra,ac,math.ac,Commutative Algebra (Math)
math,DG,Differential Geometry,dg,math.dg,Differential Geometry (Math)
math,FA,Functional Analysis,fa,math.fa,Functional Analysis (Math)
math,CV,Complex Variables,cv,math.cv,Complex Variables (Math)
math,GN,General Topology,gn,math.gn,General Topology (Math)
math,GT,Geometric Topology,gt,math.gt,Geometric Topology (Math)
math,GR,Group Theory,gr,math.gr,Group Theory (Math)
math,KT,K-Theory and Homology,kt,math.kt,K-Theory and Homology (Math)
math,NT,Number Theory,nt,math.nt,Number Theory (Math)
math,OA,Operator Algebras,oa,math.oa,Operator Algebras (Math)
math,QA,Quantum Algebra,qa,math.qa,Quantum Algebra (Math)
math,RT,Representation Theory,rt,math.rt,Representation Theory (Math)
math,RA,Rings and Algebras,ra,math.ra,Rings and Algebras (Math)
math,SG,Symplectic Geometry,sg,math.sg,Symplectic Geometry (Math)
math,MG,Metric Geometry,mg,math.mg,Metric Geometry (Math)
math,IT,Information Theory,it,math.it,Information Theory (Math)
math,MP,Mathematical Physics,mp,math.mp,Mathematical Physics (Math)
math,AP,Analysis of PDEs,ap,math.ap,Analysis of PDEs (Math)
math,CA,Classical Analysis and ODEs,ca,math.ca,Classical Analysis and ODEs (Math)
math,CO,Combinatorics,co,math.co,Combinatorics (Math)
math,DS,Dynamical Systems,ds,math.ds,Dynamical Systems (Math)
math,OC,Optimization and Control,oc,math.oc,Optimization and Control (Math)
math,NA,Numerical Analysis,na,math.na,Numerical Analysis (Math)
math,SP,Spectral Theory,sp,math.sp,Spectral Theory (Math)
math,GM,General Mathematics,gm,math.gm,General Mathematics (Math)
math,HO,History and Overview,ho,math.ho,History and Overview (Math)
math,LO,Logic,lo,math.lo,Logic (Math)
math,PR,Probability,pr,math.pr,Probability (Math)
math,ST,Statistics Theory,st,math.st,Statistics Theory (Math)
stat,AP,Applications,ap,stat.ap,Applications (Statistics)
stat,CO,Computation,co,stat.co,Computation (Statistics)
stat,ML,Machine Learning,ml,stat.ml,Machine Learning (Statistics)
stat,ME,Methodology,me,stat.me,Methodology (Statistics)
stat,OT,Other Statistics,ot,stat.ot,Other Statistics (Statistics)
stat,TH,Statistics Theory,th,stat.th,Statistics Theory (Statistics)
cs,AI,Artificial Intelligence,ai,cs.ai,Artificial Intelligence (Computer Science)
cs,CL,Computation and Language,cl,cs.cl,Computation and Language (Computer Science)
cs,CC,Computational Complexity,cc,cs.cc,Computational Complexity (Computer Science)
cs,CE,Computational Engineering Finance and Science,ce,cs.ce,Computational Engineering Finance and Science (Computer Science)
cs,CG,Computational Geometry,cg,cs.cg,Computational Geometry (Computer Science)
cs,GT,Computer Science and Game Theory,gt,cs.gt,Computer Science and Game Theory (Computer Science)
cs,CV,Computer Vision and Pattern Recognition,cv,cs.cv,Computer Vision and Pattern Recognition (Computer Science)
cs,CY,Computers and Society,cy,cs.cy,Computers and Society (Computer Science)
cs,CR,Cryptography and Security,cr,cs.cr,Cryptography and Security (Computer Science)
cs,DS,Data Structures and Algorithms,ds,cs.ds,Data Structures and Algorithms (Computer Science)
cs,DB,Databases,db,cs.db,Databases (Computer Science)
cs,DL,Digital Libraries,dl,cs.dl,Digital Libraries (Computer Science)
cs,DM,Discrete Mathematics,dm,cs.dm,Discrete Mathematics (Computer Science)
cs,DC,Distributed Parallel and Cluster Computing,dc,cs.dc,Distributed Parallel and Cluster Computing (Computer Science)
cs,ET,Emerging Technologies,et,cs.et,Emerging Technologies (Computer Science)
cs,FL,Formal Languages and Automata Theory,fl,cs.fl,Formal Languages and Automata Theory (Computer Science)
cs,GL,General Literature,gl,cs.gl,General Literature (Computer Science)
cs,GR,Graphics,gr,cs.gr,Graphics (Computer Science)
cs,AR,Hardware Architecture,ar,cs.ar,Hardware Architecture (Computer Science)
cs,HC,Human-Computer Interaction,hc,cs.hc,Human-Computer Interaction (Computer Science)
cs,IR,Information Retrieval,ir,cs.ir,Information Retrieval (Computer Science)
cs,IT,Information Theory,it,cs.it,Information Theory (Computer Science)
cs,LG,Learning,lg,cs.lg,Learning (Computer Science)
cs,LO,Logic in Computer Science,lo,cs.lo,Logic in Computer Science (Computer Science)
cs,MS,Mathematical Software,ms,cs.ms,Mathematical Software (Computer Science)
cs,MA,Multiagent Systems,ma,cs.ma,Multiagent Systems (Computer Science)
cs,MM,Multimedia,mm,cs.mm,Multimedia (Computer Science)
cs,NI,Networking and Internet Architecture,ni,cs.ni,Networking and Internet Architecture (Computer Science)
cs,NE,Neural and Evolutionary Computing,ne,cs.ne,Neural and Evolutionary Computing (Computer Science)
cs,NA,Numerical Analysis,na,cs.na,Numerical Analysis (Computer Science)
cs,OS,Operating Systems,os,cs.os,Operating Systems (Computer Science)
cs,OH,Other Computer Science,oh,cs.oh,Other Computer Science (Computer Science)
cs,PF,Performance,pf,cs.pf,Performance (Computer Science)
cs,PL,Programming Languages,pl,cs.pl,Programming Languages (Computer Science)
cs,RO,Robotics,ro,cs.ro,Robotics (Computer Science)
cs,SI,Social and Information Networks,si,cs.si,Social and Information Networks (Computer Science)
cs,SE,Software Engineering,se,cs.se,Software Engineering (Computer Science)
cs,SD,Sound,sd,cs.sd,Sound (Computer Science)
cs,SC,Symbolic Computation,sc,cs.sc,Symbolic Computation (Computer Science)
cs,SY,Systems and Control,sy,cs.sy,Systems and Control (Computer Science)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,